ReviewText,Rating,Sentiment
"the ambience was good, food was quite good . had saturday lunch , which was cost effective .
good place for a sate brunch. one can also chill with friends and or parents.
waiter soumen das was really courteous and helpful.",5,Positive
ambience is too good for a pleasant evening. service is very prompt. food is good. over all a good experience. soumen das - kudos to the service,5,Positive
a must try.. great food great ambience. thnx for the service by pradeep and subroto. my personal recommendation is penne alfredo pasta:) ....... also the music in the background is amazing.,5,Positive
"soumen das and arun was a great guy. only because of their behavior and sincerety, and good food off course, i would like to visit this place again.",5,Positive
food is good.we ordered kodi drumsticks and basket mutton biryani. all are good. thanks to pradeep. he served well. we enjoyed here. ambience is also very good.,5,Positive
"ambiance is good, service is good, food is apradeecp and subro best service
food is good. papiya good hostess and ur caption very good. this is 4star restaurant.",5,Positive
"its a very nice place, ambience is different, all the food we ordered was very tasty, service is also gud, worth visit. its reasonable as well. really a must visit place.",5,Positive
well after reading so many reviews finally visited this place...ambience was so good and coming to food crispy corn is nice. tawa fish was ok... basket biryani disappointed us... biryani was ok but not flattering as they claimed.. staff was polite and prompt especially pradeep and suman.,4,Positive
"excellent food , specially if you like spicy food . courteous staff . shubro and pradeep and papiya gave excellent service to our corporate team dinner . overall great for team dinners and party",5,Positive
"came for the birthday treat of a close friend. perfect place for a treat like this. very hospitable and cooperative staff. food was delicious, ambience was really good with the music and the lighting. chili honey lotus stem is a must try here. special mention to papiya who took good care of us.",5,Positive
the service was great and the food was awesome. the service staff manab and papiya were very courteous and attentive. i would like to come frequently to this place,5,Positive
"very good ambience, amazing food ,good service and friendly staff - pradeep, papiya and shuvro :) will definitely visit again! and loved the design of their menu card.",5,Positive
food was very good. soup was as expected. in starters we ordered honey chilli lotus stem and that is a must try for vegan ppl. service was great. frequent visits from papiya to know our experience and also about the food was really impressive.,5,Positive
food is too good. telangana kodiak fry is must try.mutton biriyani is too good.papiya helped to choose best dishes and attended very well.must visit.,5,Positive
"we ordered corn cheese balls, manchow soup and paneer shashlik sizzler. the sizzler was stale. paneer was smelling and the waiter was so impolite to even accept the mistake. never going again",1,Very Negative
food and ambience is fantastic.. waiter manav maji was really quick in his service.. cheese balls is a must try starter as it was very scrumptious,5,Positive
"came here for lunch and the food was good and tasty. we tried buffet and all the items in veg and non-veg were tasty.

the ambience and service were also good, and the staff were courteous.

shubhamtraveltales.wordpress.com",4,Positive
the best thing about this place is the food. my favorite go to dish here is definitely alfredo pasta although other items are good as well. and the service and behavior of the staff is top-notch. we we're attended by mr. soumen das and he was extremely polite. will definitely visit soon.,5,Positive
polite and friendly staff. nice ambience and good spread of menu. drinks are awesome. service is very good by manav... looking forward to seeing it again...,5,Positive
"food is really good. we had vegetarian items including paneer, mushroom and kofta. additionally service from papiya , shuvro was really good.",5,Positive
"beautiful, cozy and classy at the same time, this place is truly recommended for your special days. with 15 percent corporate discounts, you can treat your cotorie well without burning a hole ur pocket. also, the interior is done so well, you ll love the vibe. on the menu, honey chilli lotus stems, basket biryanis, sizzling brownies were my favourite. also loved the tomato basil shorba, different from the creamy standards in other restaurants. i'm definitely making more visits to beyond flavours. special mention to papiya, our hostess for the evening, excellent service :)",5,Positive
"please was good but it was quite expensive and coming to taste we can rate 3 out of 5, we cant click better pictures wen we visit in night🤣🤭best in day time for pics",4,Positive
service was too good and fast. even these people were so polite and well behaving. manav and pradeep you were good. hope everyone behaves the same way,4,Positive
"we had our farewell feast here recently enjoyed very well very good management so does the boys who gave complimentary food and made us more happy
food was perfect desserts, starters was wonderful",5,Positive
"excellent experience, mouthwatering food, good ambience, a must go place in hyderabad. we were served by shubhro and papiya. they were awesome in their behaviour. had an enjoyable evening with friends.",5,Positive
the place is very good.. 5* to the live music.. she is just superb with beautiful voice.. food is nice n loved the lightning..😍entrance is also very nice..,5,Positive
