ReviewText,Rating,Sentiment
"amber and ladonna at the starbucks on southwest parkway are always so warm and welcoming. there is always a smile in their voice when they greet you at the drive-thru. and their customer service is always spot-on, they always get my order right and with a smile. i would actually give them more than 5 stars if they were available.",5,Very Positive
"** at the starbucks by the fire station on 436 in altamonte springs, fl made my day and finally helped me figure out the way to make my drink so i would love it. she took time out to talk to me for 2 minutes to make my experience better than what i am used to. it was much appreciated! i have had bad experiences one after another at the starbucks that is closest to me in my work building with my drinks not being great along with not great customer service from specific baristas. niko was refreshing to speak to and pleasant. the drink was perfect! store 11956",5,Very Positive
i just wanted to go out of my way to recognize a starbucks employee billy at the franklin park location! i was running late to work & placed an order at the wrong location and not only did he make my order with a smile he made it within 60 seconds! thank you soo much i was having a bad morning and people like you just make this world a better place.,5,Very Positive
"me and my friend were at starbucks and my card did not work. thankful the worker there, paid for our drinks. and was very nice about it, it did not seem to bother him that he paid for our drinks. this made my day, but made me look like a fool because my card did not work. all thanks to dillon. at shoreline wa in safeway. thank you so much dillon for the help, support and, kindness. i rate this 1000/10 if i could but, other than that, 10/10.",5,Very Positive
i am on this kick of drinking 5 cups of warm water. i work for instacart right now and every location of starbucks i was given free hot water because i asked for it without being charged. i really appreciate starbucks for giving me the opportunity to do such thing. that is why i give them five stars. they fully have my support. they are super nice and professional and the coffee is great. go to starbucks.,5,Very Positive
we had to correct them on our order 3 times. they never got it right then the manager came over to us and said we made her employee uncomfortable because we were trying to correct our order. the manager tried was racist against my stepmom (chinese) taking over her but when i (**) would talk she would stop talking and listen to me.,1,Very Negative
"i have tried starbucks several different times in different locations just in case it was just the one store. but it is not. if you like coffee that taste like dirt scooped off the ground at a garbage dump, then this is the place for you.",1,Very Negative
"starbucks near me just launched new fall foods and beverages yesterday. by noon yesterday they were out of all new items. the fall launch is huge and many people look forward to it all year. maybe if you do not have enough product to last even a couple of days, push back the launch until you do? i was so happy to get the email that it had come out that i left work on my break to brighten my day and so very disappointed to get there at 12:30pm and find out that it was all gone. please starbucks, do better.",1,Very Negative
"i ordered online for the reisterstown rd, st thomas sc 99000 and they gave me the wrong drink size so ordered a venti they gave me a grande. just a bit upset that i paid over 5 bucks for a drink and got the wrong thing.",1,Very Negative
"staff at the smythe st. superstore location in fredericton, nb often seen tired but today, a woman named senoa (senora?) was morose, glum, uncommunicative (even after i tried to engage her to sympathize, as there was obviously a bad mood happening), scruffy looking, almost rude. and, the americano i ordered tastes watery. i go to starbucks for a treat after a long day. it a difficult experience, to ease stress and have a pleasant experience. i am going to sell a different location after today is grumpy girl.",1,Very Negative
